title,ncode,userid,writer,story,length,
ダレカノツゴウ　～勝手に異世界召喚で魔王にされたけど私は士官学校で青春したい～,N3783GQ,482559,沖田　ねてる,【毎日夜９時、更新予定】myTextEscapeEnter　世の中はいつも、誰かの都合で動く。そうだとしても。myTextEscapeEntermyTextEscapeEnter　親に敷かれたレールの上を、ただ歩いて生きてきたマサト。myTextEscapeEntermyTextEscapeEnter　彼は高校に入学する直前、唐突に異世界に召喚された。myTextEscapeEntermyTextEscapeEnter　彼が召喚された理由は、魔王の魂と相性がピッタリだったため。つまり、魔王の新しい身体になるためだった。myTextEscapeEntermyTextEscapeEnter　魔王に乗り移られ、意識を奪われていたマサト。それから三年の月日が経ったある日、魔王が死んだことで彼は自分の意識を取り戻した。myTextEscapeEntermyTextEscapeEnter　しかし、三年振りに起きたマサトに自由はなかった。彼は次の&quot;魔王&quot;にならなければならないという向こうの都合によって、強制的に魔王としての英才教育を叩き込まれることになってしまった。第二の人生でも、彼は誰かの敷いたレールの上を歩くことになったのだ。myTextEscapeEntermyTextEscapeEnter　そんなある日、マサトはひょんなことから奴隷の女の子を助けた。そして、助けた彼女に言われた。myTextEscapeEntermyTextEscapeEnter『お願いです、一緒に逃げましょう。逃げてください。このままだとおそらく取り返しがつかなくなる。わたしは、わたしを助けてくれたあなたが……心配なんです』myTextEscapeEntermyTextEscapeEnter　その言葉が、マサトに考えさせた。myTextEscapeEntermyTextEscapeEnter　本当は、どうしたいのか。myTextEscapeEnter　決められた道を歩き続けてきた。myTextEscapeEnter　誰かの都合に合わせて生きてきた。myTextEscapeEnter　そんな主人公が初めて、&quot;自分の人生&quot;について考え、そして歩き出す。myTextEscapeEnter　その先にある、&quot;彼が本当に望むもの&quot;とは。myTextEscapeEntermyTextEscapeEnter　王道を目指す、異世界転生バトルファンタジー。myTextEscapeEntermyTextEscapeEnter　この作品はカクヨムにも掲載しています。myTextEscapeEnter　https://kakuyomu.jp/works/1177354055086829151myTextEscapeEntermyTextEscapeEnter　この作品の第一話のあとがきには挿絵があります。苦手な方は挿絵非表示に設定してお読みください。myTextEscapeEnter(20210221)だんぼーる様（@DANboard_Novel）よりファンアートを頂きました！　ありがとうございます！,555997,
一目惚れしたら囲いたい,N2504GQ,1574082,チカフジ　ユキ,　クロエは迷宮産魔道具の専門店でバイト中。夏休み期間中一人で店を開ける事になったのだけど、店に店長と知り合いだと名乗る超有名人が来て…。myTextEscapeEnter　反則《チート》級少女と反則《チート》男が出会い、日々を重ねていく。myTextEscapeEnter　年の差なんて些細な事。myTextEscapeEnter　趣味と実益、話が合えば、人は自然と惹かれていく……はず…。,518633,
テンペスト・シリンダー,N1728GQ,2063717,tokusin,嵐をも包み込む機械仕掛けの超巨大な筒、その名もテンペスト・シリンダー。荒廃した大地に代わり建造されたその筒の中で、一人の少女が二体の機械生命体と出会う。それを機に十二体のAIが目覚め、欲望を知り、恐怖を知り、執着を知り、未知を知って己が為すべきことを自覚しテンペスト・シリンダーの行末を大きく動かしていく。myTextEscapeEntermyTextEscapeEnter※一話単位で掲載していきたいと思います、読んで頂けたら幸いです。myTextEscapeEnter※追記2020/12/1付　第一話から第四話、まとめて改行、段落等の改稿を実施しました。内容に変更はありません。こらからもテンペスト・シリンダーをよろしくお願い致します。myTextEscapeEnter※Twitterで登場人物の画像を上げていきます。こちらの更新スピードは激遅です。良ければご覧になって下さい。ユーザー名はtousinです。myTextEscapeEnterhttps://mobile.twitter.com/tokusin3,1194691,
廻天旅跡録 ~宵開けの帝都~,N1660GQ,1415559,占冠 愁,【12/24 [歴史]日間10位・12/26 [歴史]日間8位】←近代戦記モノもっと流行れmyTextEscapeEntermyTextEscapeEnter主人公はオタクであることがテンプレの異世界召喚系のファンタジー。myTextEscapeEnterけれども流石に、&quot;鉄オタ&quot;は場違いすぎるだろう。myTextEscapeEntermyTextEscapeEnter僕は鉄道オタクである。 しかし撮影中に、自称「神」曰く&quot;手違い&quot;で殺されてしまう。なんてことだ。myTextEscapeEnter剣と魔法の異世界に召喚する、だと？電車が走っていないじゃないか、論外。ありえない。myTextEscapeEnter結果、召喚された世界は――明治21年。myTextEscapeEntermyTextEscapeEnter「――この運命を捻じ曲げ、俺は、歴史の主人公になる…！」myTextEscapeEnter挙句の果てに、『主人公』は別に召喚されているようです。え、僕の召喚意義は？myTextEscapeEnter僕は屯田兵として北海道の入植地に追放処分となってしまう。myTextEscapeEnter「えぇ……」myTextEscapeEnterめでたく最前線確定組だ。myTextEscapeEntermyTextEscapeEnter「クソ！明治が何だ、爆撃機でも機甲師団でも全手段で武装して生き延びてやる！」myTextEscapeEnterなりふり構わず、現代知識の総動員。異世界勇者？王道展開？そんなの知りません。myTextEscapeEnter130年遡り、明治21年8月15日の正午――まだただの暑い夏の一日に過ぎなかったこの日この時――に転移、からの追放で始まる、混沌の火葬戦記、開幕。myTextEscapeEntermyTextEscapeEnter※カクヨムのほうが更新速め,651780,
交換日記で綴る異世界戦記,N1289GQ,2049253,なんこう,「不本意に亡くなったあなた！　そうです、そこのあなたです！　そんなあなたにビッグチャーンス！　異世界で生き直してみませんか！？」myTextEscapeEntermyTextEscapeEnter　日記が習慣の陸軍少佐・吾妻一郎は、終戦直前、予期せぬ出来事に巻き込まれて命を落とす。成仏できずに彷徨っていた一郎は、異世界の女神・ヘルミーネに目を付けられ、生前の姿のまま異世界の大国・ヒルデガルド帝国の辺境・シュヴィーツへと召喚された。myTextEscapeEnter　生前の知識と経験を元にシュヴィーツの発展に貢献する一郎。一方、侵略を目論む大貴族と内部対立によりシュヴィーツに危機が迫っていた。myTextEscapeEnter　差し迫る危機を乗り越えるべく奮闘する一郎だったが、当の女神ヘルミーネの言動に不安を覚える。どうやら彼女は何かを隠しているようで……。myTextEscapeEnter　危機を招くものは女神の事情。myTextEscapeEnter　果たして、一郎はこの危機を乗り越えることができるのか？myTextEscapeEnter　可憐なあの娘と交換日記で綴る異世界戦記開幕。myTextEscapeEntermyTextEscapeEnter※物語の章立てについてmyTextEscapeEnter　令和2年12月18日（金曜日）に章立てを変更しました（章の細分化）,584858,
Your story 〜最弱最強のプレイヤー〜,N0149GQ,1959748,ゆずあめ,『ユアスト』と略してます。myTextEscapeEntermyTextEscapeEnter 主人公、月見里 月斗(やまなし つきと)は、最近話題になっているVRMMORPG、『Your story ―君の紡ぐ物語―』を始める。......が、一番最初にする事は『友達作り』だった。myTextEscapeEntermyTextEscapeEnterこれは、月見里月斗が作り上げる物語。myTextEscapeEntermyTextEscapeEnter月見里月斗の『人生』と言う本の、1章をお楽しみください。myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnter作者は小説を書くのはこのお話が初めてです。少しずつ成長していきますので、見守ってくださると嬉しいです。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter前タイトル:Your story ―凝りすぎたゲームを極めた男―myTextEscapeEntermyTextEscapeEnter第0章〜物語の始まり〜myTextEscapeEnter第1章〜語り人ルナ〜myTextEscapeEnter第2章〜アップデートと仲間〜myTextEscapeEnter第3章〜弟子と王都〜myTextEscapeEnter第4章〜第1回イベント:武術大会〜myTextEscapeEnter第5章〜限界突破と冒険者〜myTextEscapeEnter第6章〜姫を守る騎士〜myTextEscapeEnter第7章〜神界と夏休み〜myTextEscapeEnter第8章〜夏の思い出〜myTextEscapeEnter第9章〜狐国編〜myTextEscapeEnter第10章〜穏やかな日々〜←限界進行中！myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnterカクヨムにも一部、投稿させていただいてます。,1275965,
傷つき狐　迷いウサギと出会う,N6710GP,2042465,メダリスト爺,ある夜、裏稼業人フォックスは、作戦行動後に記憶を失って座り込んでいたところを家出女子高生燈梨に介抱されたことをきっかけに、家に泊めることになってしまう。myTextEscapeEntermyTextEscapeEnter悩むフォックスに迫って、宿代を身体で払おうとする燈梨を拒絶し、まともな生活をするよう懇々と説くフォックスに、戸惑う燈梨。myTextEscapeEntermyTextEscapeEnter翌日現れたフォックスの弟子の元・女裏稼業人の舞韻と、記憶を取り戻すため病院へ行くが、そこで記憶が戻ることはなかった。myTextEscapeEntermyTextEscapeEnter失われた記憶と、その原因、そして登場人物たちの壮絶な過去。更に日常生活を通してフォックスと燈梨は過去を乗り越えて成長していくのだった。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter,623770,
最強で最速の無限レベルアップ　～スキル【経験値1000倍】と【レベルフリー】でレベル上限の枷が外れた俺は無双する～,N5228GP,1531965,コー藤真,俺は佐倉真琴、十六歳。myTextEscapeEnter高校を退学になり親とも大喧嘩、居場所がなくなった俺は公園で寝泊まりしていた。myTextEscapeEnterそんなある日世界中にダンジョンが出現した。myTextEscapeEntermyTextEscapeEnter人間にはレベルシステムが発現しこれまでの価値観は崩れていった。myTextEscapeEnterそんな中俺はチートスキル【経験値1000倍】と【レベルフリー】によってダンジョンの中に居場所を見い出していたのだった。myTextEscapeEnter※日間ローファンタジーランキング1位。週間ローファンタジーランキング1位。月間ローファンタジーランキング1位。四半期ローファンタジーランキング3位。2300万PV突破！　ご声援ありがとうございます。◇◇◇この物語はフィクションです。カクヨム様にも載せています。,556798,
土地神様は吸血鬼　～人間に育てられた吸血鬼の日常～,N4892GP,1807768,大介,周りに人の集落も無く、本来はダンジョンにしか生息しない吸血鬼。myTextEscapeEnterしかし、森には捨てられてしまったのか吸血鬼の赤ちゃんがいた。myTextEscapeEntermyTextEscapeEnter冒険者を引退した女性に偶然拾われて小さな村で育てられた。myTextEscapeEnter赤ちゃんはシャーロットと名付けられた。myTextEscapeEntermyTextEscapeEnterお母さんが亡くなるまで一緒に過ごしたシャーロットはお墓を建てた。myTextEscapeEnterそして、同じ場所で眠りたいと願う。myTextEscapeEntermyTextEscapeEnterお母さんも守っていた村を、シャーロットは守り続けた。myTextEscapeEnterその結果、安全な村として評判となり人が集まった。myTextEscapeEntermyTextEscapeEnterその頃には人々から尊敬されるようになっていた。myTextEscapeEntermyTextEscapeEnter更に月日が流れ、村から街に変わる時に名前を変える事になった。myTextEscapeEnterシェリル街、命名権をもらったシャーロットはお母さんの名前を付けた。myTextEscapeEntermyTextEscapeEnterシャーロットが街を守る理由が1つ増えた。myTextEscapeEntermyTextEscapeEnter500年以上の歳月が流れた時、彼女は土地神様として街の人々から崇められていた。myTextEscapeEntermyTextEscapeEnter※吸血鬼シャーロットと周りを取り巻く人々との日常です。,819734,
ジョブ『ソムリエ』の派遣執事は極級ハンターになりたい 〜神矢と超薬草を集めてこっそり最短ルートを進む〜 ,N4204GP,928159,夕凪ナギ,　ぶどう農家に生まれた主人公ヴァン。ハンターの英雄伝を聞き、ハンターに憧れるようになった。だが彼のジョブは、貴族が欲しがる『ソムリエ』だった。myTextEscapeEntermyTextEscapeEnter　十三歳でジョブの印が現れてからは、彼は『ソムリエ』の役割をこなしながら、その一方で、神矢から多くのスキルを得ていく。myTextEscapeEntermyTextEscapeEnter　また、偶然の出来事から、誰もが羨むレアスキルを得ることにもなる。しかし、憧れのハンターどころか、平凡な戦闘系のスキルさえ手に入らない。myTextEscapeEntermyTextEscapeEnter　ヴァンは、講習を受けて下級ハンターのスキルを得ようと、親友のマルクと共にギルドを訪れる。myTextEscapeEntermyTextEscapeEnter「チマチマと努力しても、上級ハンター止まりだ」myTextEscapeEntermyTextEscapeEnter　憧れの極級ハンター、ゼクトとの再会によって、ヴァンの価値観はガラリと変わる。myTextEscapeEntermyTextEscapeEnter「神矢を得るためには、手段を選んでいられない」myTextEscapeEntermyTextEscapeEnter　多くの使えるスキルを駆使する彼は、ほとんど戦えないのに、貴重な戦力として目立つ存在になっていく。myTextEscapeEnter　myTextEscapeEnter　純朴すぎる少年だったヴァンが、次第に狡猾さを兼ね備え、夢を追いかけていく物語。myTextEscapeEnter　myTextEscapeEntermyTextEscapeEnter＊毎日更新しています。myTextEscapeEntermyTextEscapeEnter＊読み進めるうちにワインを全くご存知ない方も、ワイン選びができるようになっていただけたら嬉しいなと思い、ぶどう品種は実在の名前を使っています。myTextEscapeEnter,540068,
サード ガーデン,N4155GP,1813009,さんまぐ,ある日、サルディニスにあるシィアの国で目覚めた記憶をなくした少年テッド。myTextEscapeEnter彼には物凄い数の才能、そして強さがあった。myTextEscapeEnter自身が何者なのか、何故自分には才能があるのかそれを聞く為にテッドは半神半人の女神に会う。myTextEscapeEntermyTextEscapeEnter《小説家になろうとカクヨムとノベルアップ+の多重投稿です》myTextEscapeEnter※本編完結部分、おまけ完結部分まで書ききっておりますのでご安心してお読みください。,710163,
犬猿の仲の王女達、大好きな王子を守る旅に出る,N3284GP,1955040,神宮真夜,剣聖の娘であるライラは、聖女の娘であるリア、大賢者の娘であるマリーと共に、ストケシア王国の王に養女として引き取られ、王女となっていた。myTextEscapeEntermyTextEscapeEnter三人の王女の中はそれ程良くはなかったが、三人とも王の実子であるカンナ王子がお気に入り。myTextEscapeEntermyTextEscapeEnterカンナ王子は優しいが子供っぽく臆病で中性的な顔立ちのせいで、幼児や少女に見られがちという風体。myTextEscapeEnterその為可愛いもの好きであるライラもかなり好いていた。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnterそんなカンナ王子が成人になった時、王から爆弾発言が下される。myTextEscapeEntermyTextEscapeEnter「カンナ王子の初めてを交わした者に、カンナ王子の妃の座と国を治める権利を与える」myTextEscapeEntermyTextEscapeEnterこの発言により国を狙う者達から狙われることになるカンナ王子。myTextEscapeEntermyTextEscapeEnterそしてこの争奪戦には王女達も参加することになり、王女間でも争いが……。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter更にそんな中、三人の王女と王子で他国を巡る旅に出る事になる。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter大波乱の予感の中、ライラは国を……いや、王子（の初めて）を守ることが出来るのか？myTextEscapeEnterそして国を巡る旅の行方は？myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnter＞＞11/10　タイトル少し修正しました。,610796,
ジコセキニンヒーロー,N3114GP,2037845,ケト,近づいた人の『我慢していること』『願っていること』。そんな強い思いを発現させるという体質を持って生まれた少年、黒木裁（くろきさい）。myTextEscapeEnter裁は、自らのその体質を使い、人が抱える悪を自己責任で発現させ、そして立ち向かうことを決めたのだった。myTextEscapeEnter,524901,
表と裏　青春と終末,N2810GP,345061,湯水　快,この春高校一年生になった『双見　誉』（ふたみ　ほまれ）は肝が据わって冷静沈着、家族思いで少しだけスケベ。myTextEscapeEnter入学早々、美少女との運命的な出会いから女の子達との縁が次々と結ばれていく。myTextEscapeEnterハーレム高校生活が今始まった！！myTextEscapeEntermyTextEscapeEnterただし主人公には秘密があった。myTextEscapeEnter眠る度に世界は変わり表と裏がひっくり返る。myTextEscapeEnter裏の世界は修羅の世界、怪物蠢く地獄の終末。myTextEscapeEnterどちらが本当の世界なのかわからないまま主人公は今日も二回の一日を生きていく。myTextEscapeEnter【注意】myTextEscapeEnter表は恋愛モノ　裏は終末サバイバルモノです。myTextEscapeEnter【裏】では残虐表現が多くあります。myTextEscapeEntermyTextEscapeEnter矛盾点や誤字脱字など気付かれましたら遠慮なくご指摘いただけると助かります！myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnterツイッターです。myTextEscapeEnter更新予定などを呟くので宜しければご覧ください。myTextEscapeEntermyTextEscapeEnterhttps://twitter.com/yumizu_kai,508694,
赤蜥蜴と赤羽根　～赤い鱗を持つベテラン冒険者のリザードマンと深紅の翼を持つ新米冒険者の少女の冒険物語～,N2594GP,2051422,３宮ＧＯ,5年以上前の記憶が無い世にも珍しい赤鱗のリザードマン・ドレイク、通称「赤蜥蜴」。myTextEscapeEnter5歳以前の記憶が無い美しい深紅の翼を持つバードマン・フリルフレア、通称「赤羽根」。myTextEscapeEnterベテラン冒険者と初心者冒険者は森の中運命の出会いを果たす……………？myTextEscapeEnter目の前に落ちてくる尻、もがく赤い翼。myTextEscapeEnter「大丈夫か、フライドチキン？」「ミイィィ！誰がフライドチキンですか！」myTextEscapeEnterひたすら人の名前を覚えない赤蜥蜴と泣き虫な赤羽根はコンビを組み冒険に出る。ドワーフにエルフ、ハーフエルフにケット・シーを仲間に加えて。myTextEscapeEnterそして起きる、町を揺るがす事件。さらにそこには残酷な現実があった。myTextEscapeEnter二人の出会いに残酷な運命の歯車が動き出す。myTextEscapeEntermyTextEscapeEnterノベルアップ＋さんでも掲載中です。myTextEscapeEnter,592870,
食いしん坊エルフ２　精霊戦機エルティナイト　～　全てを喰らう者と精霊王　～,N2306GP,593693,なっとうごはん,地球とは異なる、しかし、よく似た世界に、不思議な力で送り込まれた異世界転生幼女エルティナ。myTextEscapeEnterそこは、巨大な人型戦闘ロボット【戦機】が猛威を振るう、情け無用の戦いの大地であった。myTextEscapeEntermyTextEscapeEnterそんな、ちょっとレトロでＳＦチックな世界にファンタジーを持ち込むバカタレ。myTextEscapeEnterそれが【食いしん坊エルフ】こと、エルティナ・ランフォーリ・エティルなのだ！myTextEscapeEntermyTextEscapeEnterこの物語は、殺伐とした世界を理不尽な不思議パワーで蹂躙しつつ、珍しい食べ物を求めて騒動を起こしながら旅をする、白エルフの少女と相棒となる戦機の戦いの記録である。myTextEscapeEntermyTextEscapeEnterやがて君は、珍妙なる現象を目撃したりしなかったりするだろう。,662377,
リアル型MMORPG　～ゲームになった現実世界を専用スキルで無双する～,N2033GP,1035884,天空海濶,20××年、とあるゲーム会社から大規模なVRMMO──“アナザーワン・スペース・オンライン”が発売した。myTextEscapeEnter　それは瞬く間に人々へ伝わり、全世界に居る人口数十億人のうち七割がプレイする大ブームと化す。myTextEscapeEnter　そんなゲームの管理を勤める俺、光野流星は自分の通う高校にあまり行かず、日々ゲームにて起こる問題を解決して生計を立てていた。myTextEscapeEnter　しかしある時、VRMMOでしかなかった筈の“アナザーワン・スペース・オンライン”が現実の世界と融合し、ゲームと現実二つの世界が混ざり合ってしまう。myTextEscapeEnter　その問題を解決すべく俺は世界を回って現実の世界が舞台となったゲームの攻略を目指す。,878934,
【不死の力で世界最強】永遠の魔法,N0691GP,1330937,ららららら,myTextEscapeEnter誰からも必要とされず、誰も必要としない。myTextEscapeEnter好きな人間もいなければ、嫌いな人間もいない。myTextEscapeEnter家族、友人、恋人、あらゆる人間関係が希薄な人生myTextEscapeEnter深海のように圧く息苦しい世界myTextEscapeEntermyTextEscapeEnter孤独こそが彼の居場所であった。myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnterーー異世界転生myTextEscapeEntermyTextEscapeEntermyTextEscapeEnterとある事故をきっかけとし、彼の人生は一転する。myTextEscapeEnter剣と魔法のファンタジー世界で目覚めた彼に、初めての居場所ができた。myTextEscapeEntermyTextEscapeEnter大切な人々を守るため、彼が手にした盾は「不死」の力myTextEscapeEnter大切な人々を失わないために、彼が手にした剣は「カード」の力myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter魔物が蠢き、人の命が軽い世界myTextEscapeEnterそんな世界を前に、彼は二つの力で大切な人々を守るために戦いに身を投じていく…myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnterー注意ーmyTextEscapeEnter・チート要素による無双は割と後からになります。myTextEscapeEnter・ハーレム要素はありますが、えっちな感じにはなりません。myTextEscapeEnter・ハーレム要素はありますが、様々な属性を取り揃える予定です。myTextEscapeEnter・急展開からの急展開で物語は進行します。myTextEscapeEnter,504035,
士官学校の爆笑王　～ヴァイリス英雄譚～,N0453GP,1729124,まつおさん,以前の記憶もなく、突如として異世界の士官学校に入学することになったある男。myTextEscapeEnter入学試験のダンジョンで大活躍してはみたものの、入学してわかったことは、彼には剣や弓の腕前も、魔法の才能も、その他あらゆる才能にも恵まれていないということだった。myTextEscapeEntermyTextEscapeEnterだが、なぜか彼の周囲には笑いが絶えない。myTextEscapeEntermyTextEscapeEnter「士官学校の爆笑王」と呼ばれたそんな彼が、やがてヴァイリスの英雄と呼ばれるなどと、いったい誰が想像し得ただろうか。,921623,
このパーティー、定員二名につき入れません,N0267GP,1311357,ゆきみち,「俺のパーティーに入れ！」myTextEscapeEntermyTextEscapeEnter彼女見た、知った人々は必ずそう口にする。myTextEscapeEntermyTextEscapeEnter美しい見た目、丁寧で優しい口調、物腰柔らかな態度。myTextEscapeEntermyTextEscapeEnterそして、この世で１に求められる魔法の才能。myTextEscapeEntermyTextEscapeEnterどれを取っても完璧な彼女を、自分のパーティーやギルドに誘うのは当然のことだった。myTextEscapeEntermyTextEscapeEnterしかし彼女の答えはいつも同じ。myTextEscapeEntermyTextEscapeEnter「このパーティー、定員二名につき入れません」myTextEscapeEntermyTextEscapeEnter共に旅をする彼以外の加入は一切認めない。myTextEscapeEntermyTextEscapeEnterどれだけ好条件をつけられても、どれだけ富を得られようとも、どれだけ親しい友であっても、彼女は彼と二人だけで、旅をする。myTextEscapeEntermyTextEscapeEnterどこにいくのか。何をしにいくのか。何故一緒にいるのか。myTextEscapeEntermyTextEscapeEnter彼女・リーツと、彼・アレリランティだけの、非許可のパーティー。myTextEscapeEntermyTextEscapeEnter彼女達の旅は、とある彼、彼女達の人生を変え、いずれは世界に関わっていく。,547635,
夜語り万華鏡,N9258GO,2044188,有馬佑紀,人に取り憑く凶魔がいる。悪事を働く凶魔を祓うべく、妖術師の熨師女真夜歌は人知れず戦いの日々を送る。myTextEscapeEnter,594324,
勇者パーティーを追放された醜いテイマーの裏ルート攻略譚,N9058GO,1962201,7ト,勇者パーティーを追放された主人公が紙装備でダンジョンに入ったら、裏ルートを見つけてこの世界に出現する全ての魔物とタイマン貼り周回プレイしまくった結果、気づいたら裏ボスまで倒して神になっていました。,592168,
死ねない魔法少女の異世界転生記,N5881GO,795632,ミュート,やぁ。私は赤松玲。二十一歳のお姉さんさ。myTextEscapeEntermyTextEscapeEnterいや、この自己紹介はあまり正しくないかもなぁ……正確に言うと私は二十一歳のお姉さんだったのにも関わらず、とある事情から死んじゃって輪廻転生、今は十七歳の美少女になっている。myTextEscapeEntermyTextEscapeEnterそして十七年間、今の世界でクシャナ・アルスタッドとして生活をしているのだけれど……myTextEscapeEntermyTextEscapeEnterどうにもこの世界に、私と生前因縁があった【アシッド】という怪物が出ているらしくてね。myTextEscapeEntermyTextEscapeEnter私はあまり興味ないのだけれど、若い子達を無下に見殺しには出来ない。myTextEscapeEntermyTextEscapeEnterとある事情で手にしたマジカリング・デバイス【イリュージョン】を用いて、魔法少女に変身し、戦う事になったんだ。myTextEscapeEntermyTextEscapeEnter詳しくは本編を読んでくれたまえ。お姉さんも大歓迎だよ？myTextEscapeEntermyTextEscapeEnter※ご覧になる方によっては気分を害する描写等もあります。myTextEscapeEnter　予めご了承ください。myTextEscapeEnter※この物語は、法律・法令に反する行為を容認・推奨するものではありません。myTextEscapeEnter※この作品は「ノベルアップ+」様でも同様の内容で掲載しております。myTextEscapeEnter※コメント・感想等も大歓迎です。,723212,
 あやかし酒場と七人の王子たち　～珠子とあやかしグルメ百物語～,N5189GO,764727,相田　彩太,東京の中心より西に外れた八王子、さらにその片隅に一軒のひなびた酒場がある。myTextEscapeEntermyTextEscapeEnter「酒処　七王子」myTextEscapeEntermyTextEscapeEnterそこは一見、普通の酒場であるが、霊感の鋭い人は気づくであろう。myTextEscapeEnterそこが人ならざるモノがあつまる怪異酒場である事を。myTextEscapeEntermyTextEscapeEnterこれは酒場を切り盛りする７人の兄弟王子と、そこを訪れる奇怪なあやかしたち、そしてそこの料理人である人間の女の子の物語。myTextEscapeEntermyTextEscapeEnter◇◇◇◇myTextEscapeEntermyTextEscapeEnterオムニバス形式で送る、”あやかし”とのトラブルを料理で解決する快刀乱麻で七転八倒の物語です。myTextEscapeEnter基本的にコメディ路線、たまにシリアス。myTextEscapeEnterこの作品には「アルファポリス」にも重複掲載しています。,1396967,
電波戦隊スイハンジャー,N4387GO,2034495,白浜台与,まずは…石ノ森先生と八手先生に陳謝っ！！myTextEscapeEnterもし一般の社会人が無理矢理ヒーロー戦隊にさせられたら？という思いつきで書いている処女作にして一番カルトな作品。myTextEscapeEnter現代ドラマ風に話は進みます。myTextEscapeEntermyTextEscapeEnter,808485,
エンジェル・リード,N3166GO,668129,mk＊,「貴方はただ、選べば良い。ーーどうぞ、お好きな地獄を」myTextEscapeEntermyTextEscapeEnter若い芸術家に資金援助する個人投資家、エンジェル・リード。膨大な資産とコネクションを持ちながら、その正体は謎に包まれていた。myTextEscapeEntermyTextEscapeEnter舞台は、治安の悪化した近未来の日本。myTextEscapeEnterエンジェル・リードを中心に巡る、傷と再起のお話。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnterーーーーーーーーーーーーーーーーーーmyTextEscapeEnter11.ダイヤの原石myTextEscapeEntermyTextEscapeEnter春休みに来日した航は、二人の若い芸術家に出会う。myTextEscapeEnter彼等の才能はダイヤの原石だと確信したエンジェル・リードは、投資することを決める。myTextEscapeEntermyTextEscapeEnter一方、中東の大富豪の長男であるムラトは海外の過激派組織に命を狙われ、エンジェル・リードに救援を求めてやって来る。,596840,
年下の上司,N2170GO,676981,石田累,　――また、この人か……。myTextEscapeEnter　はぁっと、果歩は溜息を吐いた。myTextEscapeEnter　全く、この忙しいのに、余計な仕事を増やしてくれる。myTextEscapeEnter「すみません、申しわけありません」myTextEscapeEnter　わたわたと巨体がしゃがみ込み、散らばった書類を集め出す。myTextEscapeEnter　この４月に民間会社から途中採用された男――藤堂瑛士。myTextEscapeEnter　去年から導入された、いわゆる「社会人枠組」の一人である。myTextEscapeEnter　年齢は２６歳、３０歳の果歩より４つも若い。myTextEscapeEnter　なのに、ここでの役職は都市計画局総務課庶務係長――つまり、果歩の直属の上司なのだ。myTextEscapeEntermyTextEscapeEnter,1491722,
心の色は泥団子　虹を捕まえ連れ立って,N2086GO,1702427,追粉,片田舎の農村に生まれ、ふたりの幼馴染とつるんで悪タレ三昧をやっていた俺――アズールにとっての最初の転機は、引退した元虹追い人に叩きのめされたことだった。餌に釣られる形でその御仁に弟子入りしてから5年。15歳になり、師匠からの許可を得た俺たちは、虹追い人になるために王都にやって来て、心の一部を具現化する能力――心色を手に入れたはいいんだが……。他のふたりがわかりやすく優れた心色だったというのに、俺は「虹色泥団子」などというあまりにもあんまりなもので。それでもどうにか気を取り直し、独り身で虹追い人稼業を始めた矢先、とある騒動の最中に不思議な女性と出会う。その出会いは、きっと俺にとって二度目の、そして最大の転機だったんだろう。これは、そんな俺が求める先を見つけ、至るまでの道筋。,891411,
